sample;annotation
курица нарезка на изюямо;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 24, 'O')]
укль по цакетах чесноком;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 24, 'O')]
кабачки по всей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
кукица в глютна;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
йогучт столовый без банке;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 25, 'O')]
макароны для солью;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
кабачк на шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
мука с бнаке;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
куриа из квусом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
беко;[(0, 4, 'O')]
печенье без собаки;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
муйа для соью;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
Белуду сейчас ечсноком;[(0, 6, 'B-BRAND'), (7, 13, 'O'), (14, 22, 'O')]
жидкость десткий без кошек;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 20, 'O'), (21, 26, 'O')]
шаурма для сеьме;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
макароны для детей;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
сыр бедро для собаки;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 20, 'O')]
ратари;[(0, 6, 'O')]
уколь с всйе пакетах;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 12, 'O'), (13, 20, 'O')]
курица спагетти;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
зочехе луране;[(0, 6, 'O'), (7, 13, 'O')]
лапша грудка без завтрак;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 16, 'O'), (17, 24, 'O')]
макраоны в собк ашлыа;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O'), (16, 21, 'O')]
Виа кия;[(0, 3, 'B-BRAND'), (4, 7, 'O')]
кабакчи нарезка без всей всей;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 19, 'O'), (20, 24, 'O'), (25, 29, 'O')]
Лури тебе орубями;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 17, 'O')]
курица с бнае аджике;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O'), (14, 20, 'O')]
килу ьисата;[(0, 4, 'O'), (5, 11, 'O')]
кетчуп детский без всй;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 18, 'O'), (19, 22, 'O')]
Тазо рядом изюмом;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 17, 'O')]
жыр;[(0, 3, 'B-TYPE')]
макароны из вкусом;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
гапша для собак;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
кетчуп для теб иобак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 14, 'O'), (15, 20, 'O')]
салаыт по изюмом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
кетчсп;[(0, 6, 'B-TYPE')]
йогурт фермерский для собак детей;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 21, 'O'), (22, 27, 'O'), (28, 33, 'O')]
осиски из детей абнке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
сааеы деский по собак;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O')]
йогурт по кошек;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
Тошаду новцй;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
чай в детей кошк;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O'), (12, 16, 'O')]
уДна рядом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
колеаса без собак;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
перловка без шашлыка шашлыка;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O'), (21, 28, 'O')]
мази рко;[(0, 4, 'O'), (5, 8, 'O')]
дрзо;[(0, 4, 'O')]
кори;[(0, 4, 'O')]
етчуп с чесноком кошек;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O'), (17, 22, 'O')]
хемаду душане;[(0, 6, 'O'), (7, 13, 'O')]
рречка с пакетах солью;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O'), (17, 22, 'O')]
Таса акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
лапша грудка на кошек свей;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O'), (22, 26, 'O')]
йогурт грудка по кошьк;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
творжки на перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
кофе детский с банкз аджике;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O'), (21, 27, 'O')]
рис по аджике;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
уогурт филе для тебе;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 15, 'O'), (16, 20, 'O')]
Фаиа сейчас всй;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 15, 'O')]
Беса новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
йогурт флие с перцем;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 13, 'O'), (14, 20, 'O')]
йгоурт по чесноком;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
Кокиса тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
помдиор без ийюмом;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
кобаса ареюка по семье собаки;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O'), (23, 29, 'O')]
Кито ейча епрцем;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 16, 'O')]
еченье рамен на чеснохом;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 24, 'O')]
сосикси бердо с отхубями;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 15, 'O'), (16, 24, 'O')]
сосиски в детей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
колбаса рамен с завтрак;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 15, 'O'), (16, 23, 'O')]
кетчуп спагетти для солсю;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 25, 'O')]
Зобе етеб;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
булочки фие для зватрак;[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE'), (12, 15, 'O'), (16, 23, 'O')]
ндеу шзки;[(0, 4, 'O'), (5, 9, 'O')]
лхопь рамен;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
рик таду море;[(0, 3, 'O'), (4, 8, 'O'), (9, 13, 'O')]
бетана;[(0, 6, 'O')]
соль нарезка из пакетах чеснокмо;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 15, 'O'), (16, 23, 'O'), (24, 32, 'O')]
вирз рахе налу;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
чау без изюмом;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
бехема хемаар;[(0, 6, 'O'), (7, 13, 'O')]
рис;[(0, 3, 'B-TYPE')]
кабачки в детей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
кетчуп для шашлыка;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
шаурма из собаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
уголь без чеснокоп;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 18, 'O')]
колбаас на дтей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
макароны без вкусом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
беса;[(0, 4, 'O')]
ворожки грудка на етбе завтрк;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'O'), (18, 22, 'O'), (23, 29, 'O')]
шаума;[(0, 5, 'B-TYPE')]
утоль с отрубями;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]
жис;[(0, 3, 'B-TYPE')]
кое с теэе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
ото так;[(0, 3, 'O'), (4, 7, 'O')]
салаты из пакетах;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
пюре грудка с изюмом;[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 13, 'O'), (14, 20, 'O')]
сафаки;[(0, 6, 'O')]
деби акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
кетчуп нарезка из банке собак;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O'), (24, 29, 'O')]
сыр без изюммо;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
кофе в всей;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
помидор без кошек;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
шаурма из банке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
тоам;[(0, 4, 'O')]
сатояа ториша;[(0, 6, 'O'), (7, 13, 'O')]
натч момша;[(0, 4, 'O'), (5, 10, 'O')]
уголь для детйе аджике;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O'), (16, 22, 'O')]
творожки пагетти в отрубями;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 27, 'O')]
Зота сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
Дуи кация;[(0, 3, 'B-BRAND'), (4, 9, 'O')]
рис по собак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O')]
угль из шашлыка чедсоком;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 24, 'O')]
салаты для чесонком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
хопья с глютена;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
кабачки для глютена шашлыка;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O'), (20, 27, 'O')]
жидкссть на етбе шашыка;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O'), (17, 23, 'O')]
творожки столовый без перцем;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 21, 'O'), (22, 28, 'O')]
Ракихе рядом;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
сосики без солью теце;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O'), (17, 21, 'O')]
рине;[(0, 4, 'O')]
тдаул толуко лилуа;[(0, 5, 'O'), (6, 12, 'O'), (13, 18, 'O')]
вода без детей;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
мкаароны грудка из кошек;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE'), (16, 18, 'O'), (19, 24, 'O')]
Лубе новый аджике;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 17, 'O')]
творожки без чесноком;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 21, 'O')]
шеурма в завтрак;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
лапша нарезка по семье;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
творожик без завтрак ккусом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O'), (21, 27, 'O')]
творжоки спагетти на отрубями;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 29, 'O')]
помидор фёие для детей сей;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 16, 'O'), (17, 22, 'O'), (23, 26, 'O')]
перловка по аджжке тебе;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O'), (19, 23, 'O')]
нелури илмо вмфа;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
сыр столовый для солью;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 16, 'O'), (17, 22, 'O')]
творожки из семье;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O')]
Тофаду ация;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
дёмо зофаки;[(0, 4, 'O'), (5, 11, 'O')]
маду;[(0, 4, 'O')]
курца столовый на собчки;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 17, 'O'), (18, 24, 'O')]
винери;[(0, 6, 'O')]
кабачки феьмерский;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
линезо лухе;[(0, 6, 'O'), (7, 11, 'O')]
перловёа груака из пткеатх;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O')]
курица из вкусо пакетах;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 23, 'O')]
лиафа лувили;[(0, 5, 'O'), (6, 12, 'O')]
хехе табе;[(0, 4, 'O'), (5, 9, 'O')]
колбаса на аждфке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
буолчки на вкусим;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
рито мат;[(0, 4, 'O'), (5, 8, 'O')]
лапша из семье;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
йогурт на аджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
риен сатохц тлуаф;[(0, 4, 'O'), (5, 11, 'O'), (12, 17, 'O')]
тноржоки по вкусом;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
Налу тееб;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
омдор детский в собшки детей;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 15, 'O'), (16, 22, 'O'), (23, 28, 'O')]
булчоки;[(0, 7, 'B-TYPE')]
уомидор без квуосм;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
угол спаетти на семеь аджике;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O'), (22, 28, 'O')]
соль для детей;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
колбаса в детей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
мука в банке отрсябми;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O'), (13, 21, 'O')]
перловка из глютена;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O')]
творожки на изюмом;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
преловка бедро без завтрак;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 18, 'O'), (19, 26, 'O')]
безоки рае;[(0, 6, 'O'), (7, 10, 'O')]
кфе на дажике;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
нара;[(0, 4, 'O')]
макароны;[(0, 8, 'B-TYPE')]
аса мали;[(0, 3, 'O'), (4, 8, 'O')]
нерита думо хеха;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
колбасм по затпвак;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
рис на тебе;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 11, 'O')]
соль без собак;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
шаурма столовый без глютуна;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 27, 'O')]
зонаса;[(0, 6, 'O')]
гечка на квусом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
Бемо сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
соль рамен с сокби;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
Зотоф кация аджек;[(0, 5, 'B-BRAND'), (6, 11, 'O'), (12, 17, 'O')]
луеки мохе;[(0, 5, 'O'), (6, 10, 'O')]
куривж;[(0, 6, 'B-TYPE')]
ссиски рамеф;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
ратон хеоа;[(0, 5, 'O'), (6, 10, 'O')]
вириби зовиат фахета;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
шкаоом тотана;[(0, 6, 'O'), (7, 13, 'O')]
пюре на пакетах перцем;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 22, 'O')]
кабаки армен для банке отрубями;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 16, 'O'), (17, 22, 'O'), (23, 31, 'O')]
Зотоли сейчас тбе;[(0, 6, 'B-BRAND'), (7, 13, 'O'), (14, 17, 'O')]
раурма из шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
шаурма с детёй;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
салнты для пецрем изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O'), (18, 24, 'O')]
Сане тебе кошек;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
аыр в все;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 9, 'O')]
кофе по пакетах;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
неиша;[(0, 5, 'O')]
сол для шашлыка;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O')]
чай по завтрак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
хеасто кик моилбе;[(0, 6, 'O'), (7, 10, 'O'), (11, 17, 'O')]
осиски в хемье пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
вода бдро с аджик;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 11, 'O'), (12, 17, 'O')]
маки;[(0, 4, 'O')]
чжй армен в все;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 15, 'O')]
помидор из пакетах;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
рис для шашыко;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
олбаса на собаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
ьерловка без пакетах изюмом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O'), (21, 27, 'O')]
торжик батоы с собаки деткй;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 14, 'O'), (15, 21, 'O'), (22, 27, 'O')]
перловка рамен для семье;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 18, 'O'), (19, 24, 'O')]
курица гтудка без собаки;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
кетчуп из кошь;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
кетчуп без чесноком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
вимои нанабе тали;[(0, 5, 'O'), (6, 12, 'O'), (13, 17, 'O')]
шаурма фермерский в коешк;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 19, 'O'), (20, 25, 'O')]
дудулу тахе рахе;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
перловка без чесонлом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 21, 'O')]
йогурт в окшек;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
пеловка на банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
соль без шашлыка;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O')]
творожки рамен без всей;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 18, 'O'), (19, 23, 'O')]
Фата бовый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
перловка на пакетах;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O')]
творожки на шашлыаа;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O')]
хопья на изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
лухе ринане луна;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
перловка на тебе тебе;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O'), (17, 21, 'O')]
лхопья грудка на собкаи;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 23, 'O')]
ерловка из кшек отрубями;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O'), (16, 24, 'O')]
блочки в пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
творожки в чесонком;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 19, 'O')]
колабса фремерский в пецрем;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 20, 'O'), (21, 27, 'O')]
мпка из отрубями;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O')]
гречка по всей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
ждикость спагетти в глютена;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 19, 'O'), (20, 27, 'O')]
отри;[(0, 4, 'O')]
корибе;[(0, 6, 'O')]
еиви аима;[(0, 4, 'O'), (5, 9, 'O')]
печенье для глюекя;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
сыр с глютена;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]
Нжта ацкия;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
жидкость столовый по банёе;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 26, 'O')]
алпша для изюмом;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
фаса;[(0, 4, 'O')]
сосиски с зватрак;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
кабаки с пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
уголь по изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
печене рамен;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
макароны столовый с чеснокмо соак;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 19, 'O'), (20, 28, 'O'), (29, 33, 'O')]
хопья на вкусом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
булочки в чесноком;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
дыр без вксуом соба;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O'), (15, 19, 'O')]
печенье атон без шашлыка собаки;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 16, 'O'), (17, 24, 'O'), (25, 31, 'O')]
уголь из изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
салаты в всей;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
али акция;[(0, 3, 'B-BRAND'), (4, 9, 'O')]
хлопья с чеснжком эошек;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O'), (18, 23, 'O')]
кабачкт по перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
птрловка с семье;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
пре;[(0, 3, 'B-TYPE')]
колбаса в изюмом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
чаз на глютена;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
тоне;[(0, 4, 'O')]
помидор из аджикп есноком;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O'), (18, 25, 'O')]
сали шхае фалухе;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
шаурма бдро без перцем;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
чай для завтрак вкусом;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O'), (16, 22, 'O')]
макардны в сеьме;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
чай без перцем;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
рамаза сараду фархна;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
Маанли акция;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
колбаса для вкусом пакятах;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O'), (19, 26, 'O')]
аки нмащмо мошари;[(0, 3, 'O'), (4, 10, 'O'), (11, 17, 'O')]
печене на глютена семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O'), (18, 23, 'O')]
рнс батон;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
чай спагетти на собак;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O')]
угоьл рамен из глютена;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 14, 'O'), (15, 22, 'O')]
жидкость в ебе ыолью;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 14, 'O'), (15, 20, 'O')]
тазора;[(0, 6, 'O')]
хлопья для собаки;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
соль с вкуом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
Раду акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
вод по дажике;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
шаурма без изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
фана;[(0, 4, 'O')]
буосчки на нсей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
шавифа анмо;[(0, 6, 'O'), (7, 11, 'O')]
